Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000918	10	0.909091
OG0000919	10	0.909091
OG0000920	10	0.909091
OG0000921	10	0.909091
OG0000922	10	0.909091
OG0000923	10	0.909091
OG0000924	10	0.909091
OG0000925	10	0.909091
OG0000926	10	0.909091
OG0000927	10	0.909091
OG0000928	10	0.909091
OG0000929	10	0.909091
OG0000930	10	0.909091
OG0000931	10	0.909091
OG0000932	10	0.909091
OG0000933	10	0.909091
OG0000934	10	0.909091
OG0000935	9	0.818182
OG0000936	10	0.909091
OG0000937	9	0.818182
OG0000938	10	0.909091
OG0000939	10	0.909091
OG0000940	10	0.909091
OG0000941	10	0.909091
OG0000942	10	0.909091
OG0000943	10	0.909091
OG0000944	10	0.909091
OG0000945	10	0.909091
OG0000946	10	0.909091
OG0000947	10	0.909091
OG0000948	10	0.909091
OG0000949	10	0.909091
OG0000950	10	0.909091
OG0000951	10	0.909091
OG0000952	10	0.909091
OG0000953	10	0.909091
OG0000954	10	0.909091
OG0000955	10	0.909091
OG0000956	10	0.909091
OG0000957	10	0.909091
OG0000958	10	0.909091
OG0000959	10	0.909091
OG0000960	10	0.909091
OG0000961	10	0.909091
OG0000962	10	0.909091
OG0000963	10	0.909091
OG0000964	10	0.909091
OG0000965	10	0.909091
OG0000966	10	0.909091
OG0000967	10	0.909091
OG0000968	10	0.909091
OG0000969	9	0.818182
OG0000970	10	0.909091
OG0000971	10	0.909091
OG0000972	10	0.909091
OG0000973	10	0.909091
OG0000974	10	0.909091
OG0000975	10	0.909091
OG0000976	10	0.909091
OG0000977	10	0.909091
OG0000978	10	0.909091
OG0000979	10	0.909091
OG0000980	10	0.909091
OG0000981	10	0.909091
OG0000982	10	0.909091
OG0000983	10	0.909091
OG0000984	10	0.909091
OG0000985	10	0.909091
OG0000986	10	0.909091
OG0000987	10	0.909091
OG0000988	10	0.909091
OG0000989	10	0.909091
OG0000990	10	0.909091
OG0000991	10	0.909091
OG0000992	10	0.909091
OG0000993	10	0.909091
OG0000994	10	0.909091
OG0000995	10	0.909091
OG0000996	10	0.909091
OG0000997	10	0.909091
OG0000998	10	0.909091
OG0000999	10	0.909091
OG0001000	10	0.909091
OG0001001	10	0.909091
